domestic_token,domestic_name,foreign_token,foreign_name,pair_adress,token0_adress,token1_adress,level,decimals0,decimals1,chat_id,entry_block
0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0x06da0fd433C1A5d7a4faa01111c044910A184553,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,1551.0,18,6,987964253,16483384.0
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0x06da0fd433C1A5d7a4faa01111c044910A184553,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,0.001,18,6,466954667,16483389.0
0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0x06da0fd433C1A5d7a4faa01111c044910A184553,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,1547.0,18,6,466954667,16483739.0
0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0x06da0fd433C1A5d7a4faa01111c044910A184553,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,1546.7,18,6,987964253,16483739.0
